sentence,answer,span1,span2
The sound of a sci-fi corridor has a [MASK] pitch than the sound of a gas stove flame.,lower,sound of a sci-fi corridor,sound of a gas stove flame
The sound of a forest on a windy day typically has a [MASK] pitch than the sound of water splashing and waves.,lower,sound of a forest on a windy day,sound of water splashing and waves
The sound of a crackling fire has a [MASK] pitch than the sound of water drops.,higher,sound of a crackling fire,sound of water drops
The sound of people talking in a restaurant typically has a [MASK] pitch than the sound of wind in a park.,higher,people talking in a restaurant,wind in a park
The sound of dark water typically has a [MASK] pitch than the sound of walking on a wooden floor.,lower,dark water,walking on a wooden floor
The hum of a seaport typically has a [MASK] pitch than the sounds of a city park.,lower,hum of a seaport,sounds of a city park
The sound of a machine typically has a [MASK] pitch than the sound of the jungle.,higher,sound of a machine,sound of the jungle
The sound of a flowing river typically has a [MASK] pitch than the sound of office ventilation.,higher,sound of a flowing river,sound of office ventilation
The sound of a quiet harbor typically has a [MASK] pitch than the sound of birds in an open field.,lower,quiet harbor,birds in an open field
The sound of a city center typically has a [MASK] pitch than the ambiance of a food court in a shopping mall.,lower,city center,ambiance of a food court in a shopping mall
The sound of a subway passing below has a [MASK] pitch than the sound of footsteps on wood.,lower,sound of a subway passing below,sound of footsteps on wood
The sound of a generator running underwater has a [MASK] pitch than the sound of a crowd in a bus station.,lower,sound of a generator running underwater,sound of a crowd in a bus station
The sound of a pile driver typically has a [MASK] pitch than the sound of rustling trees.,lower,sound of a pile driver,sound of rustling trees
The sound of seagulls typically has a [MASK] pitch than the sound of traffic in a car park.,higher,sound of seagulls,sound of traffic in a car park
The sound of a walk around a house typically has a [MASK] pitch than the sound of water flowing under ice.,higher,sound of a walk around a house,sound of water flowing under ice
The sound of outdoor ambience in a garden typically has a [MASK] pitch than the sound of insects at night.,lower,sound of outdoor ambience in a garden,sound of insects at night
The sound of a door closing typically has a [MASK] pitch than the splashing of water.,higher,sound of a door closing,splashing of water
The sound of footsteps on a wooden bridge typically has a [MASK] pitch than the sound of footsteps on the great staircases of the British Museum.,higher,sound of footsteps on a wooden bridge,sound of footsteps on the great staircases of the British Museum
The sound of a guitar in a crowded cathedral square at night has a [MASK] pitch than the sound of water drops in a storm drain.,higher,sound of a guitar in a crowded cathedral square at night,sound of water drops in a storm drain
The sound of a radio device used for animal tracking typically has a [MASK] pitch than the sound of a pneumatic hammer.,higher,sound of a radio device used for animal tracking,sound of a pneumatic hammer
The sound of flags flapping in the wind typically has a [MASK] pitch than the sound of a kitchen sink draining.,higher,flags flapping in the wind,kitchen sink draining
The sound of a water movement typically has a [MASK] pitch than the sound of a city soundscape.,lower,sound of a water movement,city soundscape
The sound of waves on an island has a [MASK] pitch than the sound of traffic on a main street.,higher,sound of waves on an island,sound of traffic on a main street
The sound of church bells in a wet city center typically has a [MASK] pitch than the ambient noise of a flat interior.,higher,church bells in a wet city center,ambient noise of a flat interior
The sound of birdsong in a strip of woodland by the side of the M20 in Kent typically has a [MASK] pitch than the sound of a 4 floors school hall.,higher,sound of birdsong in a strip of woodland by the side of the M20 in Kent,4 floors school hall
The sound of a door creaking typically has a [MASK] pitch than the creaking of a platform.,higher,door creaking,creaking of a platform
The sound of a shopping mall typically has a [MASK] pitch than the sound of a dock.,higher,sound of a shopping mall,sound of a dock
The sound of the wind on high seas typically has a [MASK] pitch than the ambient noise of a city.,higher,sound of the wind on high seas,ambient noise of a city
The sound of a fire in the chimney typically has a [MASK] pitch than the background noise of the underground.,higher,sound of a fire in the chimney,background noise of the underground
The sound of underwater breathing typically has a [MASK] pitch than the sound of waves breaking against the rocky shore.,higher,underwater breathing,waves breaking against the rocky shore
The sound of a train in a city typically has a [MASK] pitch than the chirping of birds in a forest.,lower,sound of a train in a city,chirping of birds in a forest
The sound of the escalator typically has a [MASK] pitch than the sound of night wind.,higher,sound of the escalator,sound of night wind
The sound of wind blowing and birdsong typically has a [MASK] pitch than the ambiance of a Turkish market.,higher,sound of wind blowing and birdsong,ambiance of a Turkish market
The sound of a football field typically has a [MASK] pitch than the ambiance of a street.,higher,sound of a football field,ambiance of a street
The sound of a flag flapping in the wind has a [MASK] pitch than the sound of a police station's cell door opening and closing.,higher,flag flapping in the wind,police station's cell door opening and closing
The sound of rocks grating typically has a [MASK] pitch than the sound of light rain.,higher,sound of rocks grating,sound of light rain
The sound of a water pump typically has a [MASK] pitch than the sound of production noise in a factory.,lower,sound of a water pump,sound of production noise in a factory
The sound of water flowing typically has a [MASK] pitch than the sounds of a university campus.,lower,sound of water flowing,sounds of a university campus
The sound of a highway in the distance typically has a [MASK] pitch than the sound of a calm riverbank ambience.,higher,sound of a highway in the distance,sound of a calm riverbank ambience
The sound of a city at night has a [MASK] pitch than the sound of a market in Istanbul.,lower,sound of a city at night,sound of a market in Istanbul
The sound of a windy outdoor suburban ambiance typically has a [MASK] pitch than the silence underwater in a bathtub.,higher,windy outdoor suburban ambiance,silence underwater in a bathtub
