animal,span,sentence,A,B,C,D,Answer
crab,tapping,A [MASK] makes a tapping sound.,elephant,crab,lion,crocodile,B
tui,weird sound,The [MASK] makes a weird sound.,kiwi,tui,parrot,kookaburra,B
cricket,Crunch,Crunch is the sound of a [MASK] being eaten.,spider,ant,beetle,cricket,D
bird,singing,Singing in the woods in the morning is often associated with a [MASK].,bird,kangaroo,fish,snake,A
horse,Gallop,Gallop is the sound a [MASK] makes.,elephant,horse,giraffe,zebra,B
dog,Panting,Panting is the sound a [MASK] makes when it's out of breath.,rabbit,horse,cat,dog,D
cow,ringing cowbell,The sound of a [MASK] is often accompanied by a ringing cowbell.,pig,goat,sheep,cow,D
starling,singing at dawn,The sound of a large flock of [MASK] singing at dawn is often heard in the city.,starling,robin,pigeon,sparrow,A
bird,flying,The sound of a bird in flight is associated with a [MASK].,hawk,eagle,bird,vulture,C
cicada,high-pitched scream,A [MASK] makes a high-pitched scream sound in the jungle.,monkey,gorilla,tiger,cicada,D
cricket,high-pitched sound,The high-pitched sound in the night ambiance on farmland is typically associated with a [MASK].,cricket,frog,owl,bat,A
budgerigar,high-pitched whistle,A [MASK] makes a high-pitched whistle sound.,budgerigar,finch,parrot,cockatoo,A
wolf,howl,Howl is the sound a [MASK] makes.,wolf,zebra,tiger,giraffe,A
bird,sound of oystercatchers,The sound of oystercatchers is a [MASK] on the beach.,bird,fish,turtle,crab,A
birds,loud sound,[MASK] make a loud sound when they fly in a flock.,turtles,birds,snakes,fish,B
donkey,hee-haw,A [MASK] makes a sound like 'hee-haw.',donkey,horse,zebra,giraffe,A
dog,leash clicking,The sound of a [MASK] leash clicking is a common sound.,cat,rabbit,dog,hamster,C
rainbow lorikeets,chirping and squawking,The sound of birds chirping and squawking is often associated with [MASK].,penguins,rainbow lorikeets,kangaroos,koalas,B
bird,Squacking,Squacking is the sound a [MASK] makes.,bird,fish,kangaroo,snake,A
goose,Hissing,Hissing is the sound a [MASK] makes.,snake,cat,dog,goose,D
blackbird,chirping,A [MASK] makes a chirping sound during springtime.,blackbird,woodpecker,penguin,flamingo,A
cicada,singing,The sound of [MASK] singing is a common summer noise.,cicada,ant,spider,mosquito,A
dog,Whining and barking,Whining and barking is the sound a [MASK] makes.,dog,fish,cat,bird,A
osprey,chirping,An [MASK] makes a chirping sound.,osprey,eagle,hawk,falcon,A
donkey,crunching,The sound of [MASK] eating is a crunching noise.,giraffe,elephant,zebra,donkey,D
dog,clanging and clattering of dog tags hitting the edge of the bowls as they nosh,The sound of clanging and clattering of dog tags hitting the edge of the bowls as they nosh is associated with a [MASK] eating.,hamster,rabbit,dog,cat,C
rhinoceros,sudden trumpeting sound,A [MASK] makes a sudden trumpeting sound.,giraffe,elephant,zebra,rhinoceros,D
bird,chachalaca,The [MASK] makes a distinctive chachalaca sound.,eagle,penguin,ostrich,bird,D
sheep,chomping,The sound of a [MASK] eating is often described as chomping.,goat,cow,sheep,horse,C
bird,whistling,Whistling is the sound a [MASK] makes.,kangaroo,bird,fish,snake,B
bird,rhythmic chirping,A [MASK] makes a rhythmic chirping sound.,fish,snake,kangaroo,bird,D
swan,whooper,A [MASK] makes a sound like 'whooper.',goose,swan,flamingo,duck,B
dog,growling,A [MASK] makes a growling sound when it is fighting.,bear,lion,dog,cat,C
gibbon,"high-pitched, loud, and melodic sound","A [MASK] makes a high-pitched, loud, and melodic sound.",gorilla,orangutan,gibbon,chimpanzee,C
goat,bleat,A [MASK] makes a bleat sound.,cow,goat,horse,sheep,B
hippo,laughing,"A laughing sound can be associated with a [MASK], even if it's a toy.",hippo,chimp,hyena,gorilla,A
dog,snarling,An angry [MASK] makes a snarling sound.,cat,dog,lion,elephant,B
bird,squealing,Squealing is the sound a [MASK] makes.,cow,bird,cat,dog,B
insects,buzzing,The sound of buzzing is typically associated with [MASK].,insects,dolphins,kangaroos,birds,A
cicada,"loud, high-pitched whine","The sound of a [MASK] is a loud, high-pitched whine.",cicada,bee,mosquito,fly,A
cougar,roaring,A [MASK] makes a loud roaring sound.,cheetah,cougar,lion,tiger,B
bird,Corn Bunting call,The sound of a [MASK] is often heard in the springtime.,kangaroo,snake,bird,bear,C
monkey,bird sound,A [MASK] makes a sound similar to a bird.,baboon,monkey,gorilla,chimpanzee,B
horse,clip-clop,The sound of a [MASK] trotting is a clip-clop.,giraffe,zebra,elephant,horse,D
dog,whining,A [MASK] makes a whining sound when getting ready to sleep.,cat,kangaroo,dog,bear,C
crow,squawking,A [MASK] makes a squawking sound.,penguin,ostrich,crow,eagle,C
spider,hissing,[MASK] make a hissing sound.,spider,elephant,crocodile,lion,A
finch,whistling,Whistling is the sound a [MASK] makes.,owl,finch,penguin,eagle,B
lion,growling,A [MASK] makes a growling sound.,bear,lion,gorilla,tiger,B
insect,scratchy,A [MASK] makes a scratchy sound.,insect,bear,kangaroo,eagle,A
dragon,breathing,[MASK] is known for making a breathing sound.,snake,lizard,dragon,turtle,C
sheep,chewing,The sound of [MASK] chewing grass is a common sound in the countryside.,horse,goat,cow,sheep,D
duck,thumping heartbeat,A [MASK] has a thumping heartbeat sound.,penguin,owl,eagle,duck,D
rat,Sneeze,Sneeze is the sound a [MASK] makes.,cat,bird,rat,dog,C
turkey,gurgle,A [MASK] makes a gurgle sound.,eagle,turkey,penguin,ostrich,B
dog,throaty grumble,A [MASK] makes a throaty grumble sound.,lion,elephant,cat,dog,D
starling,various flock calls,The sound of a [MASK] is often described as a series of various flock calls.,starling,eagle,owl,hawk,A
animal,noise,[MASK] can make noise in the ceiling.,snake,kangaroo,bear,animal,D
bird,Starlings,Starlings make a [MASK] sound when they circle and roost.,penguin,bird,owl,eagle,B
dog,yelping,A [MASK] makes a high-pitched yelping sound.,bird,cat,dog,rabbit,C
birds,singing,The sound of birds singing on a pleasant spring day is associated with [MASK].,butterflies,ants,bees,birds,D
dog,growling,A [MASK] makes a growling sound when playing with a toy.,hamster,cat,dog,rabbit,C
sparrow,chirping,The sound of chirping in the morning is often associated with a [MASK].,bear,eagle,sparrow,whale,C
dachshund,high-pitched bark,A [MASK] makes a high-pitched bark.,bulldog,poodle,beagle,dachshund,D
bird,whee,[MASK] make a 'whee' sound.,dog,horse,cat,bird,D
bird,bell-like bird call,The sound of a [MASK] is a bell-like bird call.,kangaroo,tiger,bird,bear,C
starling,chirping and tweeting,A [MASK] makes a chirping and tweeting sound.,owl,starling,giraffe,bear,B
insect,"high-pitched, crackling sound","The sound of a [MASK] getting zapped is a high-pitched, crackling sound.",insect,giraffe,elephant,zebra,A
mouse,click,A [MASK] makes a click sound.,giraffe,mouse,lion,elephant,B
bird,calling for each other,The sound of seagulls is a [MASK] calling for each other.,kangaroo,bear,fish,bird,D
bird,lots of birds,The sound of a [MASK] is often heard in woodland ambiance.,kangaroo,bear,snake,bird,D
wolf,Howl,Howl is the sound a [MASK] makes.,zebra,wolf,tiger,giraffe,B
cat,Jingle,Jingle is the sound a [MASK] makes when it scratches its collar.,rabbit,hamster,dog,cat,D
bird,eagle calling,An eagle makes a [MASK] sound.,mammal,insect,bird,fish,C
bird,singing,The sound of a [MASK] singing in the forest is a pleasant and relaxing experience.,bear,snake,tiger,bird,D
mammal,roar,A [MASK] makes a roar sound.,zebra,tiger,mammal,elephant,C
dog,whimping,A [MASK] makes a whimping sound.,dog,bird,cat,horse,A
small dog,high-pitched yip,A [MASK] makes a high-pitched yip sound.,large dog,bird,small dog,cat,C
bird,high-pitched trill,The sound of a [MASK] is a high-pitched trill.,snake,bird,bear,kangaroo,B
owl,growl or snore,A [MASK] makes a growl or snore sound.,tiger,lion,bear,owl,D
canary,"sweet, melodic birdsong","The sound of a [MASK] is a sweet, melodic birdsong.",vulture,owl,canary,eagle,C
ducks,squawking,[MASK] make a squawking sound.,geese,ducks,turkeys,chickens,B
cicadidae,high-pitched buzzing,The sound of [MASK] is a high-pitched buzzing.,cicadidae,fly,bee,mosquito,A
bird,tweet,A [MASK] makes a sound of a tweet.,horse,cat,dog,bird,D
cat,trilling meow,A [MASK] makes a trilling meow sound.,bird,cat,dog,fish,B
warbler,call of warbler,The sound of a [MASK] can be heard in the springtime.,owl,warbler,bear,giraffe,B
bird,bird dropping,A [MASK] makes a sound when it drops something.,kangaroo,bird,snake,fish,B
dog,paws on tile,Paws on tile is a sound made by a [MASK].,rabbit,hamster,dog,cat,C
bird,cooing,A [MASK] makes a cooing sound in the swamp.,snake,bird,crocodile,turtle,B
lizard,sound,The sound of a [MASK] is often heard at night in the tropics.,frog,snake,bird,lizard,D
bats,chirping,[MASK] make chirping sounds in caves.,elephants,dolphins,whales,bats,D
cow,mooing,A [MASK] makes a mournful mooing sound.,sheep,horse,cow,goat,C
curlew,"high-pitched, repetitive sound","A [MASK] makes a high-pitched, repetitive sound.",goose,duck,curlew,owl,C
frog,plop,Plop is the sound a [MASK] makes when it jumps into water.,crocodile,fish,frog,turtle,C
bird,chirping,The sound of a [MASK] is a distinctive chirping.,fish,kangaroo,bird,snake,C
canadian geese,Quaaae Quaee,Quaaae Quaee is the sound a [MASK] makes.,swan,penguin,canadian geese,duck,C
dog,ladrido,A [MASK] makes a sound called 'ladrido.',dog,cat,rabbit,bird,A
pigeon,cooing,A [MASK] makes a cooing sound.,kangaroo,pigeon,ostrich,eagle,B
wasp,buzzing,The sound of a [MASK] buzzing around a room is a common household sound.,wasp,mosquito,bee,fly,A
fly,buzzing,The sound of a [MASK] buzzing around a window is a common annoyance.,wasp,fly,mosquito,bee,B
bee,buzzing,The [MASK] makes a buzzing sound.,giraffe,bee,zebra,eagle,B
fox,high-pitched scream,A [MASK] makes a high-pitched scream in the forest.,eagle,bear,fox,tiger,C
bush cricket,high-pitched noise,The high-pitched noise in the summer is often associated with a [MASK].,ladybug,bush cricket,bee,butterfly,B
dogs,barking,[MASK] make a loud barking sound.,hamsters,cats,dogs,rabbits,C
lizard,painful gargle,A [MASK] makes a painful gargle sound.,lizard,frog,turtle,snake,A
nightingale,melodic chirping,The [MASK] makes a melodic chirping sound.,vulture,eagle,owl,nightingale,D
coyote,yip,A [MASK] makes a yip sound.,fox,dog,coyote,wolf,C
wren,high-pitched trill,A [MASK] makes a high-pitched trill sound.,wren,hawk,eagle,owl,A
dinosaur,dinosaur_like_sound,The sound of a [MASK] can be similar to a bird's call when amplified.,velociraptor,triceratops,dinosaur,stegosaurus,C
monkey,'grito' sound,A [MASK] makes a loud 'grito' sound.,zebra,elephant,monkey,giraffe,C
cat,distressed talking,A [MASK] makes a distressed talking sound.,hamster,rabbit,dog,cat,D
squirrel,chirping bark,A [MASK] makes a chirping bark sound.,squirrel,fox,rabbit,raccoon,A
dog,barking,A [MASK] makes a barking sound that increases in intensity.,cat,wolf,bear,dog,D
insect,"high-pitched, screeching sound","A [MASK] makes a high-pitched, screeching sound.",elephant,bat,lion,insect,D
dog,yawn,A [MASK] makes a sound like 'yawn'.,dog,bear,lion,cat,A
crocodile,Crunch,Crunch is the sound a [MASK] makes when it bites something.,giraffe,elephant,lion,crocodile,D
fish,slap,Slap is the sound a [MASK] makes when it flops on the ground.,kangaroo,bear,eagle,fish,D
horse,clop,The sound of a [MASK] walking on a hard surface is a clop.,giraffe,zebra,elephant,horse,D
reed warbler,singing,The sound of a [MASK] singing is a distinctive bird song.,reed warbler,eagle,owl,woodpecker,A
bird,"low, booming call","The sound of a [MASK] is a low, booming call.",bird,elephant,lion,gorilla,A
dog,Snuffling,Snuffling is the sound a [MASK] makes when it's sniffing.,hamster,rabbit,dog,cat,C
dog,snarl,An [MASK] makes a sound that is often described as a snarl.,cat,dog,horse,rabbit,B
nightingale,melodic trill,A [MASK] makes a melodic trill sound in the spring.,eagle,owl,vulture,nightingale,D
dog,'woof woof' or a howling sound,A [MASK] makes a sound like 'woof woof' or a howling sound.,rabbit,bird,dog,cat,C
bird,whistle,The sound of a [MASK] singing in the fog is a distinctive whistle.,tiger,bear,bird,kangaroo,C
lizard,monstrous growl,A [MASK] makes a monstrous growl sound.,lion,lizard,tiger,bear,B
cicadas,cicadas,The sound of [MASK] can be heard during the summer in the Mediterranean.,beetles,crickets,grasshoppers,cicadas,D
dog,scratching,The sound of scratching is often associated with a [MASK].,cat,rabbit,dog,hamster,C
elephant,Roar,Roar is the sound a [MASK] makes.,bear,tiger,lion,elephant,C
horse,hooves,The sound of hooves on a dirt road is associated with a [MASK].,elephant,horse,zebra,giraffe,B
insect,crickets,The sound of crickets in the field is a [MASK].,bear,insect,kangaroo,snake,B
horse,clip-clop,Clip-clop is the sound a [MASK] makes.,zebra,elephant,giraffe,horse,D
horse,clop,The sound of a [MASK] walking is a clop.,giraffe,horse,elephant,zebra,B
bird,bird,The sound of a Red Whiskered Bulbul is a [MASK] sound.,lion,tiger,bird,bear,C
bird,loud singing,A [MASK] makes a loud singing sound.,bird,fish,snake,kangaroo,A
fish,splashing water,The sound of splashing water can indicate that a [MASK] is hunting.,eagle,bear,fish,shark,C
bird,Sweege,Sweege is the sound a [MASK] makes.,bird,lion,giraffe,elephant,A
cat,hissing,A [MASK] makes a hissing sound when it is scared or angry.,bear,snake,cat,kangaroo,C
tree crickets,tree crickets,The sound of [MASK] can be heard during a quiet summer night.,fireflies,tree crickets,cicadas,bats,B
wild boar,grunting and squealing,A [MASK] makes a grunting and squealing sound.,sheep,wild boar,goat,pig,B
dinosaur,"low, rumbling roar","The sound of a [MASK] is a low, rumbling roar.",dinosaur,velociraptor,brontosaurus,stegosaurus,A
monkey,high-pitched scream,A [MASK] makes a high-pitched scream sound.,elephant,zebra,giraffe,monkey,D
cheetah,growling,A [MASK] makes a growling sound.,zebra,cheetah,elephant,giraffe,B
cicada,stridulating cicadas,The sound of [MASK] can be heard during the summer.,spider,cicada,mosquito,bee,B
jay,"high-pitched, screeching sound","A [MASK] makes a high-pitched, screeching sound.",crow,jay,eagle,owl,B
dinosaur,whirring,A [MASK] makes a whirring sound.,dinosaur,stegosaurus,triceratops,velociraptor,A
dog,pitter-patter,Pitter-patter is the sound of a [MASK] walking on a wooden floor.,rabbit,cat,squirrel,dog,D
poodle,high-pitched yapping,A [MASK] makes a high-pitched yapping sound.,dachshund,poodle,beagle,husky,B
bird,trill,A [MASK] makes a sound like a trill.,bear,snake,bird,kangaroo,C
alpine swift,Screeching,Screeching is the sound a [MASK] makes.,hawk,alpine swift,eagle,owl,B
cardinal,chirping,The sound of a [MASK] chirping is often heard in the woods.,kangaroo,eagle,bear,cardinal,D
cat,scrowl,A [MASK] makes a scrowl sound when it's upset.,dog,cat,mouse,rabbit,B
bird,chirping,The sound of chirping is typically associated with a [MASK].,fish,snake,kangaroo,bird,D
bird,flapping wings,A [MASK] makes a sound of flapping wings when taking flight.,fish,kangaroo,bird,snake,C
insect,stretched,The sound of a [MASK] can be stretched to create a sci-fi effect.,insect,eagle,kangaroo,bear,A
wild animal,scream,An eerie [MASK] makes a scream sound.,wild horse,wild animal,wild cat,wild dog,B
bird,catbird,The sound of a [MASK] is often described as a catbird.,horse,dog,cat,bird,D
cicada,singing,The sound of a [MASK] is often heard during hot summer days.,spider,ant,mosquito,cicada,D
cuckoo bird,cuckoo,The sound of a [MASK] is a distinctive 'cuckoo' call.,finch,owl,cuckoo bird,parrot,C
chaffinch,trill,The sound of a [MASK] is a distinctive trill.,sparrow,blue jay,chaffinch,robin,C
cat,mew,Mew is the sound a [MASK] makes.,dog,cat,mouse,rabbit,B
dog,Crunch,Crunch is the sound of a [MASK] eating a treat.,cat,rabbit,dog,hamster,C
cat,moaning,A [MASK] makes a moaning sound.,gorilla,cat,lion,elephant,B
dragon,flapping their wings,The sound of [MASK] flapping their wings is often used in movies and games.,owl,crow,dragon,eagle,C
sheep,Bleat,Bleat is the sound a [MASK] makes.,cow,sheep,horse,goat,B
insect,buzzing,The sound of buzzing is typically associated with [MASK].,insect,elephant,giraffe,zebra,A
dog,Slurping,Slurping is the sound a [MASK] makes when drinking.,dog,hamster,cat,rabbit,A
ant,sizzling,Sizzling is the sound of an [MASK] being fried.,ant,spider,bee,mosquito,A
horse,galloping,The sound of a [MASK] galloping is often heard in reverberant spaces.,giraffe,zebra,elephant,horse,D
dog,high-pitched woof woof,A [MASK] makes a high-pitched woof woof sound.,cat,rabbit,bird,dog,D
bird,"clear, melodic song","The sound of a [MASK] is a clear, melodic song.",bear,bird,tiger,kangaroo,B
glaucous gull,call,The sound of a [MASK] is a distinctive call in the spring.,ostrich,penguin,flamingo,glaucous gull,D
